id,codigo,nombre,Peso[Kg],unidad,precio público sin IVA,precio mínimo de venta,precio mayoreo sin IVA,precio distribuidor sin IVA,Precio Medio Mayoreo sin IVA,Marca,Codigo SAT,ean,Volumen[cm3],,Familia,Descripción Familia
17891,MAC,"Rastrillo McLeod con mango de madera de 48', TRUPER",2.7,Pieza,556.03,445,461.21,383.62,504.31,Truper,27112000,7.50121E+12,11041.965,,P732,Herramientas forestales
17905,BALI-460V,"1 banda de lija 4 x 24', carburo de silicio grano 60, 5 pzs",0.072,Pieza,56.03,39,47.41,33.62,50.86,Truper,27112739,7.50624E+12,460.21,,P889,Bandas de lija
17906,BALI-480V,"1 banda de lija 4 x 24', carburo de silicio grano 80, 5 pzs",0.066,Pieza,56.03,39,47.41,33.62,50.86,Truper,27112739,7.50624E+12,479.416,,P889,Bandas de lija
17907,BALI-4100V,"1 banda de lija 4 x 24', carburo de silicio grano 100, 5 pzs",0.059,Pieza,56.03,39,47.41,33.62,50.86,Truper,27112739,7.50624E+12,475.589,,P889,Bandas de lija
17908,BALI-4120V,"1 banda de lija 4 x 24', carburo de silicio grano 120, 5 pzs",0.053,Pieza,56.03,39,47.41,33.62,50.86,Truper,27112739,7.50624E+12,475.891,,P889,Bandas de lija
17909,BALI-4400V,"1 banda de lija 4 x 24', carburo de silicio grano 400, 5 pzs",0.04,Pieza,56.03,39,47.41,33.62,50.86,Truper,27112739,7.50624E+12,475.891,,P889,Bandas de lija
17936,VASO-340X,"Vaso aluminio de repuesto para PIPI-340X, TRUPER EXPERT",0.6,Pieza,762.93,525,633.62,452.59,702.59,Expert,31162800,7.50624E+12,3401.7,,P184,Pistolas para pintar (refacciones y accesorios)
17937,VASO-440X,"Vaso plástico de repuesto para PIPI-440X/420X, TRUPER EXPERT",0.27,Pieza,362.07,250,301.72,215.52,336.21,Expert,31162800,7.50624E+12,2609.063,,P184,Pistolas para pintar (refacciones y accesorios)
17942,DIRO-58,"Paquete con 5 discos de lija 5' grano 80, 8 perforaciones",0.052,Set,40.52,30,33.62,25.86,37.07,Truper,27112742,7.50624E+12,344.25,,P515,Discos de lija
17946,VASO-200,"Vaso aluminio de repuesto para PIPI-200/210, TRUPER",0.241,Pieza,116.38,79,93.97,68.1,102.59,Truper,31162800,7.50624E+12,2634.66,,P184,Pistolas para pintar (refacciones y accesorios)
17947,AN-SOMI-130,"Antorcha con conector tipo ojillo 6mm para SOMI-130T, TRUPER",1.11,Pieza,745.69,595,616.38,512.93,676.72,Truper,23271700,7.50624E+12,9279.6,,P228,Accesorios para soldar
17948,AN-SOMI-210,"Antorcha, conector europeo 1-1/4' para SOMU-200X y SOMI-130X",1.96,Pieza,1495.69,1195,1237.07,1030.17,1362.07,Truper,23271700,7.50624E+12,9256.104,,P228,Accesorios para soldar
17949,BOQ-SM-130/210,"Boquilla 0.03' para SOMU-200X, SOMI-130T y SOMI-130X, TRUPER",0.03,Juego,68.1,55,56.03,47.41,62.07,Truper,23271700,7.50624E+12,90.216,,P228,Accesorios para soldar
17950,DIRO-512,"Paquete con 5 discos de lija 5' grano 120, 8 perforaciones",0.045,Set,40.52,30,33.62,25.86,37.07,Truper,27112742,7.50624E+12,298.633,,P515,Discos de lija
17951,TOB-SM-130/210,"Tobera 15/32' para SOMU-200X, SOMI-130T y SOMI-130X, TRUPER",0.066,Par,137.07,110,116.38,94.83,125,Truper,23271700,7.50624E+12,522.48,,P228,Accesorios para soldar
17952,DIRO-518,"Paquete con 5 discos de lija 5' grano 180, 8 perforaciones",0.04,Set,40.52,30,33.62,25.86,37.07,Truper,27112742,7.50624E+12,275.808,,P515,Discos de lija
17959,DIRO-524,"Paquete con 5 discos de lija 5' grano 240, 8 perforaciones",0.04,Set,40.52,30,33.62,25.86,37.07,Truper,27112742,7.50624E+12,282.064,,P515,Discos de lija
17973,MOR-RE-9,"Kit de refacciones y mordazas para remachadora RE-9, TRUPER",0.074,Juego,42.24,29,34.48,25,38.79,Truper,27112700,7.50121E+12,69.878,,P123,Remachadoras
17974,MOR-RE-AC,"Kit de refacciones y mordazas para remachadora RE-AC, TRUPER",0.085,Juego,137.07,95,116.38,81.9,125,Truper,27112700,7.50121E+12,92.999,,P123,Remachadoras
17982,ET-21-3/8,"1000 grapas 3/8' corona 11.2 mm, para ET-21, TRUPER",0.076,Caja,26.72,20,22.41,17.24,25,Truper,27112120,7.50121E+12,76.608,,P151,Engrapadoras
17983,DIRO-532,"Paquete con 5 discos de lija 5' grano 320, 8 perforaciones",0.035,Set,40.52,30,33.62,25.86,37.07,Truper,27112742,7.50624E+12,275.4,,P515,Discos de lija
17985,CB-ASPI-16,"Bolsa con 2 carbones de repuesto para ASPI-16, TRUPER",0.04,Par,116.38,79,93.97,68.1,102.59,Truper,26101400,7.50624E+12,146.876,,P240,Carbones para máquinas
17986,CB-SOPLA-960,"Bolsa con 2 carbones de repuesto para SOPLA-960, TRUPER",0.016,Par,111.21,75,90.52,64.66,99.14,Truper,26101400,7.50624E+12,87.461,,P240,Carbones para máquinas
17987,CB-SOPLA-1440,"Bolsa con 2 carbones de repuesto para SOPLA-1440, TRUPER",0.015,Par,93.97,65,79.31,56.03,85.34,Truper,26101400,7.50624E+12,83.538,,P240,Carbones para máquinas
18020,CB-ASPI-03,"Bolsa con 2 carbones de repuesto para ASPI-03, TRUPER",0.017,Par,87.93,60,73.28,51.72,79.31,Truper,26101400,7.50624E+12,71.803,,P240,Carbones para máquinas
18021,CB-ASPI-06,"Bolsa con 2 carbones de repuesto para ASPI-06, TRUPER",0.02,Par,99.14,69,81.9,59.48,90.52,Truper,26101400,7.50624E+12,90.659,,P240,Carbones para máquinas
