CIDEXISTENCIA,CIDALMACEN,CIDPRODUCTO,CIDEJERCICIO,CTIPOEXISTENCIA,CENTRADASINICIALES,CSALIDASINICIALES,CCOSTOINICIALENTRADAS,CCOSTOINICIALSALIDAS,CENTRADASPERIODO1,CENTRADASPERIODO2,CENTRADASPERIODO3,CENTRADASPERIODO4,CENTRADASPERIODO5,CENTRADASPERIODO6,CENTRADASPERIODO7,CENTRADASPERIODO8,CENTRADASPERIODO9,CENTRADASPERIODO10,CENTRADASPERIODO11,CENTRADASPERIODO12,CSALIDASPERIODO1,CSALIDASPERIODO2,CSALIDASPERIODO3,CSALIDASPERIODO4,CSALIDASPERIODO5,CSALIDASPERIODO6,CSALIDASPERIODO7,CSALIDASPERIODO8,CSALIDASPERIODO9,CSALIDASPERIODO10,CSALIDASPERIODO11,CSALIDASPERIODO12,CCOSTOENTRADASPERIODO1,CCOSTOENTRADASPERIODO2,CCOSTOENTRADASPERIODO3,CCOSTOENTRADASPERIODO4,CCOSTOENTRADASPERIODO5,CCOSTOENTRADASPERIODO6,CCOSTOENTRADASPERIODO7,CCOSTOENTRADASPERIODO8,CCOSTOENTRADASPERIODO9,CCOSTOENTRADASPERIODO10,CCOSTOENTRADASPERIODO11,CCOSTOENTRADASPERIODO12,CCOSTOSALIDASPERIODO1,CCOSTOSALIDASPERIODO2,CCOSTOSALIDASPERIODO3,CCOSTOSALIDASPERIODO4,CCOSTOSALIDASPERIODO5,CCOSTOSALIDASPERIODO6,CCOSTOSALIDASPERIODO7,CCOSTOSALIDASPERIODO8,CCOSTOSALIDASPERIODO9,CCOSTOSALIDASPERIODO10,CCOSTOSALIDASPERIODO11,CCOSTOSALIDASPERIODO12,CBANCONGELADO,CTIMESTAMP
135370,3,782,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135371,3,8833,9,1,192,181,13007.25,11791.15,192,192,192,192,192,192,192,192,192,192,192,192,181,181,181,181,181,181,181,181,181,181,181,181,13007.25,13007.25,13007.25,13007.25,13007.25,13007.25,13007.25,13007.25,13007.25,13007.25,13007.25,13007.25,11791.15,11791.15,11791.15,11791.15,11791.15,11791.15,11791.15,11791.15,11791.15,11791.15,11791.15,11791.15,0,
135372,3,7897,9,1,29,24,4033.65,3303.01,29,29,29,29,29,29,29,29,29,29,29,29,24,24,24,24,24,24,24,24,24,24,24,24,4033.65,4033.65,4033.65,4033.65,4033.65,4033.65,4033.65,4033.65,4033.65,4033.65,4033.65,4033.65,3303.01,3303.01,3303.01,3303.01,3303.01,3303.01,3303.01,3303.01,3303.01,3303.01,3303.01,3303.01,0,
135373,3,6960,9,1,10,6,122.81,67.74,10,10,10,10,10,10,10,10,10,10,10,10,6,6,6,6,6,6,6,6,6,6,6,6,122.81,122.81,122.81,122.81,122.81,122.81,122.81,122.81,122.81,122.81,122.81,122.81,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,67.74,0,
135374,3,8662,9,1,10,7,1451.41,1327.6,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,7,7,1451.41,1451.41,1451.41,1451.41,1451.41,1451.41,1451.41,1451.41,1451.41,1451.41,1451.41,1451.41,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,1327.6,0,
135375,4,8829,9,1,45,45,6249.22,6191.5,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,6249.22,6249.22,6249.22,6249.22,6249.22,6249.22,6249.22,6249.22,6249.22,6249.22,6249.22,6249.22,6191.5,6191.5,6191.5,6191.5,6191.5,6191.5,6191.5,6191.5,6191.5,6191.5,6191.5,6191.5,0,
135376,4,8831,9,1,40,40,3367.08,3367.07,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,3367.08,3367.08,3367.08,3367.08,3367.08,3367.08,3367.08,3367.08,3367.08,3367.08,3367.08,3367.08,3367.07,3367.07,3367.07,3367.07,3367.07,3367.07,3367.07,3367.07,3367.07,3367.07,3367.07,3367.07,0,
135377,4,8832,9,1,22,22,2351.8,2351.8,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,2351.8,0,
135378,2,2361,9,1,42,0,86100,0,42,42,42,42,42,42,42,42,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,86100,86100,86100,86100,86100,86100,86100,86100,86100,86100,86100,86100,0,0,0,0,0,0,0,0,0,0,0,0,0,
135379,3,7517,9,1,100,17,0,0,100,100,100,100,100,100,100,100,100,100,100,100,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
135380,3,8661,9,1,9,8,1185,1012,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1185,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,1012,0,
135381,1,8834,9,1,107,107,876.88,876.86,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,876.88,876.88,876.88,876.88,876.88,876.88,876.88,876.88,876.88,876.88,876.88,876.88,876.86,876.86,876.86,876.86,876.86,876.86,876.86,876.86,876.86,876.86,876.86,876.86,0,
135382,1,8835,9,1,380,316,15820.49,12690.66,380,380,380,380,380,380,380,380,380,380,380,380,316,316,316,316,316,316,316,316,316,316,316,316,15820.49,15820.49,15820.49,15820.49,15820.49,15820.49,15820.49,15820.49,15820.49,15820.49,15820.49,15820.49,12690.66,12690.66,12690.66,12690.66,12690.66,12690.66,12690.66,12690.66,12690.66,12690.66,12690.66,12690.66,0,
