CIDEXISTENCIA,CIDALMACEN,CIDPRODUCTO,CIDEJERCICIO,CTIPOEXISTENCIA,CENTRADASINICIALES,CSALIDASINICIALES,CCOSTOINICIALENTRADAS,CCOSTOINICIALSALIDAS,CENTRADASPERIODO1,CENTRADASPERIODO2,CENTRADASPERIODO3,CENTRADASPERIODO4,CENTRADASPERIODO5,CENTRADASPERIODO6,CENTRADASPERIODO7,CENTRADASPERIODO8,CENTRADASPERIODO9,CENTRADASPERIODO10,CENTRADASPERIODO11,CENTRADASPERIODO12,CSALIDASPERIODO1,CSALIDASPERIODO2,CSALIDASPERIODO3,CSALIDASPERIODO4,CSALIDASPERIODO5,CSALIDASPERIODO6,CSALIDASPERIODO7,CSALIDASPERIODO8,CSALIDASPERIODO9,CSALIDASPERIODO10,CSALIDASPERIODO11,CSALIDASPERIODO12,CCOSTOENTRADASPERIODO1,CCOSTOENTRADASPERIODO2,CCOSTOENTRADASPERIODO3,CCOSTOENTRADASPERIODO4,CCOSTOENTRADASPERIODO5,CCOSTOENTRADASPERIODO6,CCOSTOENTRADASPERIODO7,CCOSTOENTRADASPERIODO8,CCOSTOENTRADASPERIODO9,CCOSTOENTRADASPERIODO10,CCOSTOENTRADASPERIODO11,CCOSTOENTRADASPERIODO12,CCOSTOSALIDASPERIODO1,CCOSTOSALIDASPERIODO2,CCOSTOSALIDASPERIODO3,CCOSTOSALIDASPERIODO4,CCOSTOSALIDASPERIODO5,CCOSTOSALIDASPERIODO6,CCOSTOSALIDASPERIODO7,CCOSTOSALIDASPERIODO8,CCOSTOSALIDASPERIODO9,CCOSTOSALIDASPERIODO10,CCOSTOSALIDASPERIODO11,CCOSTOSALIDASPERIODO12,CBANCONGELADO,CTIMESTAMP
120320,1,2758,9,1,20,20,7649.21,7649.21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,7649.21,0,
120321,1,427,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120322,1,705,9,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120323,1,2525,9,1,160,160,4428.9,4029.9,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4428.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,4029.9,0,
120324,1,4374,9,1,714,714,13732.04,13349.26,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,714,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13732.04,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,13349.26,0,
120325,1,2203,9,1,6304,5741,14010.65,12889.86,6304,6304,6304,6304,6304,6304,6304,6304,6304,6304,6304,6304,5741,5741,5741,5741,5741,5741,5741,5741,5741,5741,5741,5741,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,14010.65,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,12889.86,0,
120326,1,3074,9,1,1526,1078,16338.45,240269.84,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1526,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,16338.45,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,240269.84,0,
120327,1,4817,9,1,220,220,70638.06,70260.26,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70638.06,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,70260.26,0,
120328,1,4677,9,1,55123,53703.3,718236.73,1869061.5,55123,55123,55123,55123,55123,55123,55123,55123,55123,55123,55123,55123,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,53703.3,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,718236.73,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,1869061.5,0,
120329,1,4678,9,1,8050,7595.8,117537.6,107786.74,8050,8050,8050,8050,8050,8050,8050,8050,8050,8050,8050,8050,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,7595.8,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,117537.6,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,107786.74,0,
120330,1,2914,9,1,4494,4330,79699.2,76649.03,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4494,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,4330,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,79699.2,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,76649.03,0,
120331,1,332,9,1,5125,4466,21215.25,17653.36,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,4466,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,21215.25,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,17653.36,0,
120332,1,4048,9,1,12340,12336,13361.56,5762.34,12340,12340,12340,12340,12340,12340,12340,12340,12340,12340,12340,12340,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,12336,13361.56,13361.56,13361.56,13361.56,13361.56,13361.56,13361.56,13361.56,13361.56,13361.56,13361.56,13361.56,5762.34,5762.34,5762.34,5762.34,5762.34,5762.34,5762.34,5762.34,5762.34,5762.34,5762.34,5762.34,0,
120333,1,444,9,1,596,501,5970,3247.98,596,596,596,596,596,596,596,596,596,596,596,596,501,501,501,501,501,501,501,501,501,501,501,501,5970,5970,5970,5970,5970,5970,5970,5970,5970,5970,5970,5970,3247.98,3247.98,3247.98,3247.98,3247.98,3247.98,3247.98,3247.98,3247.98,3247.98,3247.98,3247.98,0,
120334,1,5076,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120335,1,333,9,1,3299,2055,5027.52,2410.05,3299,3299,3299,3299,3299,3299,3299,3299,3299,3299,3299,3299,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057,5027.52,5027.52,5027.52,5027.52,5027.52,5027.52,5027.52,5027.52,5027.52,5027.52,5027.52,5027.52,2410.05,2410.05,2410.05,2410.05,2410.05,2410.05,2410.05,2410.05,2410.05,2410.05,2410.05,2410.05,0,01/02/2026 11:34:28:948
120336,1,1808,9,1,2084,1845,21152.67,18821.17,2084,2084,2084,2084,2084,2084,2084,2084,2084,2084,2084,2084,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,1845,21152.67,21152.67,21152.67,21152.67,21152.67,21152.67,21152.67,21152.67,21152.67,21152.67,21152.67,21152.67,18821.17,18821.17,18821.17,18821.17,18821.17,18821.17,18821.17,18821.17,18821.17,18821.17,18821.17,18821.17,0,
120337,1,1150,9,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120338,1,1130,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120339,1,226,9,1,19619,18444,84220.19,78131.46,19619,19619,19619,19619,19619,19619,19619,19619,19619,19619,19619,19619,18444,18444,18444,18444,18444,18444,18444,18444,18444,18444,18444,18444,84220.19,84220.19,84220.19,84220.19,84220.19,84220.19,84220.19,84220.19,84220.19,84220.19,84220.19,84220.19,78131.46,78131.46,78131.46,78131.46,78131.46,78131.46,78131.46,78131.46,78131.46,78131.46,78131.46,78131.46,0,
120340,1,4778,9,1,216,210,470202.33,475154.76,216,216,216,216,216,216,216,216,216,216,216,216,210,210,210,210,210,210,210,210,210,210,210,210,470202.33,470202.33,470202.33,470202.33,470202.33,470202.33,470202.33,470202.33,470202.33,470202.33,470202.33,470202.33,475154.76,475154.76,475154.76,475154.76,475154.76,475154.76,475154.76,475154.76,475154.76,475154.76,475154.76,475154.76,0,
120341,1,4853,9,1,369,360,168306.29,164411.89,369,369,369,369,369,369,369,369,369,369,369,369,360,360,360,360,360,360,360,360,360,360,360,360,168306.29,168306.29,168306.29,168306.29,168306.29,168306.29,168306.29,168306.29,168306.29,168306.29,168306.29,168306.29,164411.89,164411.89,164411.89,164411.89,164411.89,164411.89,164411.89,164411.89,164411.89,164411.89,164411.89,164411.89,0,
120342,1,5118,9,1,9351,8890,35060.14,34557.34,9351,9351,9351,9351,9351,9351,9351,9351,9351,9351,9351,9351,8940,8940,8940,8940,8940,8940,8940,8940,8940,8940,8940,8940,35060.14,35060.14,35060.14,35060.14,35060.14,35060.14,35060.14,35060.14,35060.14,35060.14,35060.14,35060.14,34557.34,34557.34,34557.34,34557.34,34557.34,34557.34,34557.34,34557.34,34557.34,34557.34,34557.34,34557.34,0,01/03/2026 10:31:27:346
120343,1,5119,9,1,4575,6723,26184.25,20590.87,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,6723,26184.25,26184.25,26184.25,26184.25,26184.25,26184.25,26184.25,26184.25,26184.25,26184.25,26184.25,26184.25,20590.87,20590.87,20590.87,20590.87,20590.87,20590.87,20590.87,20590.87,20590.87,20590.87,20590.87,20590.87,0,
120344,1,662,9,1,115670,100203,1298863.35,609436.09,115670,115670,115670,115670,115670,115670,115670,115670,115670,115670,115670,115670,100203,100203,100203,100203,100203,100203,100203,100203,100203,100203,100203,100203,1298863.35,1298863.35,1298863.35,1298863.35,1298863.35,1298863.35,1298863.35,1298863.35,1298863.35,1298863.35,1298863.35,1298863.35,609436.09,609436.09,609436.09,609436.09,609436.09,609436.09,609436.09,609436.09,609436.09,609436.09,609436.09,609436.09,0,
120345,1,5115,9,1,12567,12626,62575.62,59626.8,12567,12567,12567,12567,12567,12567,12567,12567,12567,12567,12567,12567,12637,12637,12637,12637,12637,12637,12637,12637,12637,12637,12637,12637,62575.62,62575.62,62575.62,62575.62,62575.62,62575.62,62575.62,62575.62,62575.62,62575.62,62575.62,62575.62,59626.8,59626.8,59626.8,59626.8,59626.8,59626.8,59626.8,59626.8,59626.8,59626.8,59626.8,59626.8,0,01/02/2026 14:56:04:536
120346,1,141,9,1,236,186,5225.3,20729.31,236,236,236,236,236,236,236,236,236,236,236,236,186,186,186,186,186,186,186,186,186,186,186,186,5225.3,5225.3,5225.3,5225.3,5225.3,5225.3,5225.3,5225.3,5225.3,5225.3,5225.3,5225.3,20729.31,20729.31,20729.31,20729.31,20729.31,20729.31,20729.31,20729.31,20729.31,20729.31,20729.31,20729.31,0,
120347,1,4233,9,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120348,1,883,9,1,600,557,45497,42249.97,600,600,600,600,600,600,600,600,600,600,600,600,559,559,559,559,559,559,559,559,559,559,559,559,45497,45497,45497,45497,45497,45497,45497,45497,45497,45497,45497,45497,42249.97,42249.97,42249.97,42249.97,42249.97,42249.97,42249.97,42249.97,42249.97,42249.97,42249.97,42249.97,0,01/03/2026 14:32:15:979
120349,1,1308,9,1,423,388,27843.92,25367.99,423,423,423,423,423,423,423,423,423,423,423,423,390,390,390,390,390,390,390,390,390,390,390,390,27843.92,27843.92,27843.92,27843.92,27843.92,27843.92,27843.92,27843.92,27843.92,27843.92,27843.92,27843.92,25367.99,25367.99,25367.99,25367.99,25367.99,25367.99,25367.99,25367.99,25367.99,25367.99,25367.99,25367.99,0,01/03/2026 14:32:25:889
120350,1,3697,9,1,1388,1339,159718.24,138481.98,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,1339,159718.24,159718.24,159718.24,159718.24,159718.24,159718.24,159718.24,159718.24,159718.24,159718.24,159718.24,159718.24,138481.98,138481.98,138481.98,138481.98,138481.98,138481.98,138481.98,138481.98,138481.98,138481.98,138481.98,138481.98,0,
120351,1,1336,9,1,41,34,20919.91,16248.38,41,41,41,41,41,41,41,41,41,41,41,41,34,34,34,34,34,34,34,34,34,34,34,34,20919.91,20919.91,20919.91,20919.91,20919.91,20919.91,20919.91,20919.91,20919.91,20919.91,20919.91,20919.91,16248.38,16248.38,16248.38,16248.38,16248.38,16248.38,16248.38,16248.38,16248.38,16248.38,16248.38,16248.38,0,
120352,1,553,9,1,16,17,1939.16,3231.94,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,1939.16,1939.16,1939.16,1939.16,1939.16,1939.16,1939.16,1939.16,1939.16,1939.16,1939.16,1939.16,3231.94,3231.94,3231.94,3231.94,3231.94,3231.94,3231.94,3231.94,3231.94,3231.94,3231.94,3231.94,0,
120353,1,667,9,1,124393,114097.8,918021.71,-582818.35,124393,124393,124393,124393,124393,124393,124393,124393,124393,124393,124393,124393,114097.8,114097.8,114097.8,114097.8,114097.8,114097.8,114097.8,114097.8,114097.8,114097.8,114097.8,114097.8,918021.71,918021.71,918021.71,918021.71,918021.71,918021.71,918021.71,918021.71,918021.71,918021.71,918021.71,918021.71,-582818.35,-582818.35,-582818.35,-582818.35,-582818.35,-582818.35,-582818.35,-582818.35,-582818.35,-582818.35,-582818.35,-582818.35,0,
120354,1,664,9,1,349550.11,341643.61,8074983.03,7798333.67,349550.11,349550.11,349550.11,349550.11,349550.11,349550.11,349550.11,349550.11,349550.11,349550.11,349550.11,349550.11,341843.61,341843.61,341843.61,341843.61,341843.61,341843.61,341843.61,341843.61,341843.61,341843.61,341843.61,341843.61,8074983.03,8074983.03,8074983.03,8074983.03,8074983.03,8074983.03,8074983.03,8074983.03,8074983.03,8074983.03,8074983.03,8074983.03,7798333.67,7798333.67,7798333.67,7798333.67,7798333.67,7798333.67,7798333.67,7798333.67,7798333.67,7798333.67,7798333.67,7798333.67,0,01/02/2026 13:51:50:354
120355,1,665,9,1,336860,331190,2587919.67,217673.43,336860,336860,336860,336860,336860,336860,336860,336860,336860,336860,336860,336860,331293,331293,331293,331293,331293,331293,331293,331293,331293,331293,331293,331293,2587919.67,2587919.67,2587919.67,2587919.67,2587919.67,2587919.67,2587919.67,2587919.67,2587919.67,2587919.67,2587919.67,2587919.67,217673.43,217673.43,217673.43,217673.43,217673.43,217673.43,217673.43,217673.43,217673.43,217673.43,217673.43,217673.43,0,01/03/2026 12:29:38:520
120356,1,746,9,1,3461,3414,149133.46,244319.55,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3461,3414,3414,3414,3414,3414,3414,3414,3414,3414,3414,3414,3414,149133.46,149133.46,149133.46,149133.46,149133.46,149133.46,149133.46,149133.46,149133.46,149133.46,149133.46,149133.46,244319.55,244319.55,244319.55,244319.55,244319.55,244319.55,244319.55,244319.55,244319.55,244319.55,244319.55,244319.55,0,
120357,1,645,9,1,5257,5215,175918.07,169542.3,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5257,5225,5225,5225,5225,5225,5225,5225,5225,5225,5225,5225,5225,175918.07,175918.07,175918.07,175918.07,175918.07,175918.07,175918.07,175918.07,175918.07,175918.07,175918.07,175918.07,169542.3,169542.3,169542.3,169542.3,169542.3,169542.3,169542.3,169542.3,169542.3,169542.3,169542.3,169542.3,0,01/02/2026 18:20:47:604
120358,1,818,9,1,1264,1250,44035.93,41487.05,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1264,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250,44035.93,44035.93,44035.93,44035.93,44035.93,44035.93,44035.93,44035.93,44035.93,44035.93,44035.93,44035.93,41487.05,41487.05,41487.05,41487.05,41487.05,41487.05,41487.05,41487.05,41487.05,41487.05,41487.05,41487.05,0,
120359,1,878,9,1,2328,1985,19956.74,16673.41,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,2328,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,19956.74,19956.74,19956.74,19956.74,19956.74,19956.74,19956.74,19956.74,19956.74,19956.74,19956.74,19956.74,16673.41,16673.41,16673.41,16673.41,16673.41,16673.41,16673.41,16673.41,16673.41,16673.41,16673.41,16673.41,0,
120360,1,5161,9,1,82,82,1640.28,223.38,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,1640.28,1640.28,1640.28,1640.28,1640.28,1640.28,1640.28,1640.28,1640.28,1640.28,1640.28,1640.28,223.38,223.38,223.38,223.38,223.38,223.38,223.38,223.38,223.38,223.38,223.38,223.38,0,
120361,1,775,9,1,101,95,5673.56,8345.98,101,101,101,101,101,101,101,101,101,101,101,101,100,100,100,100,100,100,100,100,100,100,100,100,5673.56,5673.56,5673.56,5673.56,5673.56,5673.56,5673.56,5673.56,5673.56,5673.56,5673.56,5673.56,8345.98,8345.98,8345.98,8345.98,8345.98,8345.98,8345.98,8345.98,8345.98,8345.98,8345.98,8345.98,0,01/03/2026 12:44:46:998
120362,1,637,9,1,1593,1528,76126.36,96615.38,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,76126.36,76126.36,76126.36,76126.36,76126.36,76126.36,76126.36,76126.36,76126.36,76126.36,76126.36,76126.36,96615.38,96615.38,96615.38,96615.38,96615.38,96615.38,96615.38,96615.38,96615.38,96615.38,96615.38,96615.38,0,01/02/2026 18:19:36:240
120363,1,757,9,1,23,23,4949.43,2603.54,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,4949.43,4949.43,4949.43,4949.43,4949.43,4949.43,4949.43,4949.43,4949.43,4949.43,4949.43,4949.43,2603.54,2603.54,2603.54,2603.54,2603.54,2603.54,2603.54,2603.54,2603.54,2603.54,2603.54,2603.54,0,
120364,1,817,9,1,1090,1078,38491.06,37024.6,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,38491.06,38491.06,38491.06,38491.06,38491.06,38491.06,38491.06,38491.06,38491.06,38491.06,38491.06,38491.06,37024.6,37024.6,37024.6,37024.6,37024.6,37024.6,37024.6,37024.6,37024.6,37024.6,37024.6,37024.6,0,
120365,1,819,9,1,2236,2210,88784.37,24050.95,2236,2236,2236,2236,2236,2236,2236,2236,2236,2236,2236,2236,2210,2210,2210,2210,2210,2210,2210,2210,2210,2210,2210,2210,88784.37,88784.37,88784.37,88784.37,88784.37,88784.37,88784.37,88784.37,88784.37,88784.37,88784.37,88784.37,24050.95,24050.95,24050.95,24050.95,24050.95,24050.95,24050.95,24050.95,24050.95,24050.95,24050.95,24050.95,0,
120366,1,897,9,1,1481,1457,15359.11,14556.88,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,1481,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,15359.11,15359.11,15359.11,15359.11,15359.11,15359.11,15359.11,15359.11,15359.11,15359.11,15359.11,15359.11,14556.88,14556.88,14556.88,14556.88,14556.88,14556.88,14556.88,14556.88,14556.88,14556.88,14556.88,14556.88,0,01/02/2026 18:17:52:834
120367,1,3512,9,1,1151,1082,80231.25,73617.31,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,1082,80231.25,80231.25,80231.25,80231.25,80231.25,80231.25,80231.25,80231.25,80231.25,80231.25,80231.25,80231.25,73617.31,73617.31,73617.31,73617.31,73617.31,73617.31,73617.31,73617.31,73617.31,73617.31,73617.31,73617.31,0,
120368,1,4061,9,1,25012,15641,5701,3009.89,25012,25012,25012,25012,25012,25012,25012,25012,25012,25012,25012,25012,15641,15641,15641,15641,15641,15641,15641,15641,15641,15641,15641,15641,5701,5701,5701,5701,5701,5701,5701,5701,5701,5701,5701,5701,3009.89,3009.89,3009.89,3009.89,3009.89,3009.89,3009.89,3009.89,3009.89,3009.89,3009.89,3009.89,0,
120369,1,800,9,1,9,9,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120370,1,2726,9,1,10897,10530,201985.14,186052.84,10897,10897,10897,10897,10897,10897,10897,10897,10897,10897,10897,10897,10533,10533,10533,10533,10533,10533,10533,10533,10533,10533,10533,10533,201985.14,201985.14,201985.14,201985.14,201985.14,201985.14,201985.14,201985.14,201985.14,201985.14,201985.14,201985.14,186052.84,186052.84,186052.84,186052.84,186052.84,186052.84,186052.84,186052.84,186052.84,186052.84,186052.84,186052.84,0,01/02/2026 11:14:18:811
120371,1,2788,9,1,1640,1576,32236.61,30626.81,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1640,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,32236.61,32236.61,32236.61,32236.61,32236.61,32236.61,32236.61,32236.61,32236.61,32236.61,32236.61,32236.61,30626.81,30626.81,30626.81,30626.81,30626.81,30626.81,30626.81,30626.81,30626.81,30626.81,30626.81,30626.81,0,01/02/2026 11:33:42:511
120372,1,5162,9,1,714,375,27419.34,186413,714,714,714,714,714,714,714,714,714,714,714,714,375,375,375,375,375,375,375,375,375,375,375,375,27419.34,27419.34,27419.34,27419.34,27419.34,27419.34,27419.34,27419.34,27419.34,27419.34,27419.34,27419.34,186413,186413,186413,186413,186413,186413,186413,186413,186413,186413,186413,186413,0,
120373,1,4771,9,1,1230,1212,204126.25,203426.59,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1230,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,204126.25,204126.25,204126.25,204126.25,204126.25,204126.25,204126.25,204126.25,204126.25,204126.25,204126.25,204126.25,203426.59,203426.59,203426.59,203426.59,203426.59,203426.59,203426.59,203426.59,203426.59,203426.59,203426.59,203426.59,0,01/02/2026 14:37:05:096
120374,1,4740,9,1,1763,1763,211187.54,203960.54,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,1763,211187.54,211187.54,211187.54,211187.54,211187.54,211187.54,211187.54,211187.54,211187.54,211187.54,211187.54,211187.54,203960.54,203960.54,203960.54,203960.54,203960.54,203960.54,203960.54,203960.54,203960.54,203960.54,203960.54,203960.54,0,
120375,1,192,9,1,22037,21039,46202.9,-13911.15,22037,22037,22037,22037,22037,22037,22037,22037,22037,22037,22037,22037,21263,21263,21263,21263,21263,21263,21263,21263,21263,21263,21263,21263,46202.9,46202.9,46202.9,46202.9,46202.9,46202.9,46202.9,46202.9,46202.9,46202.9,46202.9,46202.9,-13911.15,-13911.15,-13911.15,-13911.15,-13911.15,-13911.15,-13911.15,-13911.15,-13911.15,-13911.15,-13911.15,-13911.15,0,01/03/2026 14:24:42:704
120376,1,5128,9,1,201,196,24954.57,25039.26,201,201,201,201,201,201,201,201,201,201,201,201,196,196,196,196,196,196,196,196,196,196,196,196,24954.57,24954.57,24954.57,24954.57,24954.57,24954.57,24954.57,24954.57,24954.57,24954.57,24954.57,24954.57,25039.26,25039.26,25039.26,25039.26,25039.26,25039.26,25039.26,25039.26,25039.26,25039.26,25039.26,25039.26,0,
120377,1,828,9,1,505,505,23641.07,18332.58,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,23641.07,23641.07,23641.07,23641.07,23641.07,23641.07,23641.07,23641.07,23641.07,23641.07,23641.07,23641.07,18332.58,18332.58,18332.58,18332.58,18332.58,18332.58,18332.58,18332.58,18332.58,18332.58,18332.58,18332.58,0,
120378,1,827,9,1,442,433,19928.5,18568.42,442,442,442,442,442,442,442,442,442,442,442,442,433,433,433,433,433,433,433,433,433,433,433,433,19928.5,19928.5,19928.5,19928.5,19928.5,19928.5,19928.5,19928.5,19928.5,19928.5,19928.5,19928.5,18568.42,18568.42,18568.42,18568.42,18568.42,18568.42,18568.42,18568.42,18568.42,18568.42,18568.42,18568.42,0,
120379,1,725,9,1,3797,3775,223742.65,170470.07,3797,3797,3797,3797,3797,3797,3797,3797,3797,3797,3797,3797,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,3785,223742.65,223742.65,223742.65,223742.65,223742.65,223742.65,223742.65,223742.65,223742.65,223742.65,223742.65,223742.65,170470.07,170470.07,170470.07,170470.07,170470.07,170470.07,170470.07,170470.07,170470.07,170470.07,170470.07,170470.07,0,01/02/2026 18:18:04:469
120380,1,829,9,1,1088,1090,51595.43,58907.65,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,1090,51595.43,51595.43,51595.43,51595.43,51595.43,51595.43,51595.43,51595.43,51595.43,51595.43,51595.43,51595.43,58907.65,58907.65,58907.65,58907.65,58907.65,58907.65,58907.65,58907.65,58907.65,58907.65,58907.65,58907.65,0,
120381,1,937,9,1,103,83,4746.25,3522.19,103,103,103,103,103,103,103,103,103,103,103,103,83,83,83,83,83,83,83,83,83,83,83,83,4746.25,4746.25,4746.25,4746.25,4746.25,4746.25,4746.25,4746.25,4746.25,4746.25,4746.25,4746.25,3522.19,3522.19,3522.19,3522.19,3522.19,3522.19,3522.19,3522.19,3522.19,3522.19,3522.19,3522.19,0,
120382,1,3420,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
