1,2758,-1
1,2758,-1
1,427,0
1,427,0
1,705,0
1,705,-4
1,2525,-43
1,2525,-66
1,4374,-439
1,4374,-439
1,2203,-118
1,2203,527
1,3074,-38
1,3074,-38
1,4817,0
1,4817,9
1,4677,-550.5
1,4677,977.5
1,4678,203
1,4678,299
1,2914,133
1,2914,339
1,332,33
1,332,-138
1,4048,-1954
1,4048,-6011
1,444,-22
1,444,-54
1,5076,-2
1,5076,-2
1,333,-70
1,333,-196
1,1808,-86
1,1808,-134
1,1150,0
1,1150,0
1,1130,-2
1,1130,-2
1,226,179
1,226,438
1,4778,1
1,4778,9
1,4853,-2
1,4853,-2
1,5118,-766
1,5118,-228
1,5119,-1644
1,5119,-354
1,662,-598
1,662,-112
1,5115,-1007
1,5115,-796
1,141,-20
1,141,-21
1,4233,-3
1,4233,-3
1,883,3
1,883,33
1,1308,-8
1,1308,41
1,3697,19
1,3697,112
1,1336,-8
1,1336,-9
1,553,-7
1,553,-9
1,667,1196
1,667,4424.4
1,664,8793
1,664,11232.19
1,665,1875.5
1,665,4915.5
1,746,-3
1,746,38
1,645,-142
1,645,90
1,818,-161
1,818,-121
1,878,-25
1,878,-17
1,5161,-52
1,5161,-25
1,775,-32
1,775,-38
1,637,-161
1,637,4
1,757,-5
1,757,-2
1,817,-52
1,817,-57
1,819,-97
1,819,17
1,897,-45
1,897,-2
1,3512,-85
1,3512,-75
1,4061,-1012
1,4061,-1910
1,800,-5
1,800,-8
1,2726,-1087
1,2726,51
1,2788,-152
1,2788,23
1,5162,237
1,5162,339
1,4771,-58
1,4771,-23
1,4740,36
1,4740,-8
1,192,-149
1,192,-174
1,5128,2
1,5128,-6
1,828,-50
1,828,-3
1,827,-75
1,827,-51
1,725,-85
1,725,85
1,829,-121
1,829,-91
1,937,0
1,937,-6
1,3420,0
1,3420,0
1,666,6743
1,666,8868
1,1302,-74
1,1302,199
1,4668,178
1,4668,268
1,670,135
1,670,2804.5
1,4603,0
1,4603,0
1,4150,-630
1,4150,-570
1,1412,-3280
1,1412,3555
1,5163,-623
1,5163,-651
1,5127,-8
1,5127,1
1,3142,-28
1,3142,-28
1,3148,-161
1,3148,-161
1,861,-155
1,861,-112
1,859,-156
1,859,-114
1,644,-184
1,644,148
1,740,-170
1,740,-207
1,1435,15
1,1435,168
