0,0,Ninguno,0
1,1,ALMACEN ORIZABA,1
2,999,Almacen de Mercancia en Consignacion                        ,0
3,2,ALMACEN TIENDA ZARAGOZA,2
4,3,ALMACEN TIENDA REBSAMEN,2
