2758,1,0
427,1,0
705,1,-4
2525,1,0
4374,1,0
2203,1,558
3074,1,448
4817,1,0
4677,1,1196.7
4678,1,444.2
2914,1,105
332,1,652
4048,1,4
444,1,95
5076,1,-2
333,1,1241
1808,1,239
1150,1,-10
1130,1,-2
226,1,1161
4778,1,7
4853,1,14
5118,1,404
5119,1,-2148
662,1,16267
5115,1,-70
141,1,50
4233,1,-13
883,1,41
1308,1,42
3697,1,47
1336,1,7
553,1,-1
667,1,10095.2
664,1,11862.5
665,1,8418
746,1,47
645,1,32
818,1,14
878,1,339
5161,1,0
775,1,1
637,1,55
757,1,0
817,1,12
819,1,26
897,1,64
3512,1,66
4061,1,9343
800,1,0
2726,1,343
2788,1,58
5162,1,339
4771,1,72
4740,1,32
192,1,1314
5128,1,5
828,1,0
827,1,9
725,1,12
829,1,-2
937,1,20
3420,1,0
666,1,25994.4
1302,1,185
4668,1,328
670,1,16004.5
4603,1,0
4150,1,40
1412,1,2875
5163,1,-651
5127,1,6
3142,1,-28
3148,1,-161
861,1,43
859,1,21
644,1,20
740,1,51
1435,1,529
748,1,2141.9
2779,1,1319
3887,1,22
3401,1,4
4049,1,0
360,1,376
256,1,1455
389,1,88
4469,1,-4
728,1,331
648,1,411
801,1,220
4107,1,-525
3920,1,0
5160,1,1
326,1,2599
345,1,2096
561,1,0
552,1,0
271,1,1374
3144,1,-52
4051,1,-15
258,1,355
3076,1,314
4737,1,74
4738,1,115
4870,1,22
4756,1,0
4755,1,9
4765,1,10
4777,1,29
660,1,5757.6
1303,1,283
810,1,330
641,1,356
3913,1,-6
888,1,261
3494,1,-12
1747,1,-8
1749,1,52
5170,1,-14
2564,1,-32
4605,1,-118
5121,1,-1110
177,1,-19
4151,1,21453
2716,1,0
2780,1,253
1409,1,13
5172,1,0
1361,1,101
1313,1,149
1607,1,7
5173,1,7
1759,1,23
1352,1,-50
147,1,66
5174,1,0
5139,1,234
5167,1,-5
5140,1,213
5142,1,21
5150,1,263
5151,1,283
4070,1,-224
5176,1,68
5168,1,0
113,1,-40
4739,1,26
1451,1,28
2789,1,10
2803,1,277
1863,1,0
2569,1,-317
2484,1,-101
2485,1,62
2589,1,-29
4383,1,1
1816,1,33
743,1,11
863,1,20
846,1,30
3733,1,0
4767,1,34
3157,1,710
1388,1,7
3190,1,-16
4512,1,100
411,3,-1
1894,1,107
669,1,10807.74
672,1,3847.5
233,1,1284
5148,1,16
4064,1,9
3951,1,165
5189,1,-6
1294,1,52
3978,1,-50
364,1,131
1445,1,55
5191,1,-197
686,1,3
3944,3,-59
2769,1,18
748,3,-439.7
1412,3,-190
2581,3,-15
5132,1,2
3156,1,403
4060,1,12444
4052,1,18570
5100,1,268.3
4653,1,112
5162,3,-435
668,1,18714
3139,3,5
1830,3,8
4109,1,3763
726,1,-146
1399,1,81
4782,1,6
1327,1,259
1436,1,36
346,1,968
745,1,439
806,1,283
3955,3,-219
4382,1,0
3510,1,8
5195,1,48
5200,1,83
713,1,-2
665,3,1100.5
5090,3,-104.5
5091,3,34
5199,1,30
2923,3,35
52,1,134
51,1,10
2921,3,50
5067,3,-15
4610,1,-21
5066,3,-21
3161,1,-47
2767,1,-25
1363,3,-4
2726,3,50
558,3,-6
4148,1,12266
557,3,-20
4514,1,8
3188,1,-3
749,1,2222.25
5198,1,-28
4750,1,9
3113,1,6
4991,1,-3
3975,3,-5
3973,3,-4
739,3,13
5200,3,23
4610,3,-5
4605,3,-24
3066,1,-5
678,3,-100
3215,3,-24
5121,3,-112
3157,3,127
4748,1,49
4805,1,0
4916,1,-8
3017,1,-1730.3
4336,3,33
1388,3,7
573,1,1
988,1,8
838,1,28
3527,3,-2
4426,1,4
181,1,0
887,1,89
1391,1,-5
3938,1,-8
70,1,-106
2631,1,47
71,1,622
2624,1,48
2598,1,48
2593,1,21
5181,1,4
446,1,45
671,1,14773
1945,3,-5
5204,3,-325
674,1,2388
4514,3,6
644,3,16
1883,3,2
2998,1,0
4581,3,-6
5122,1,12513
2176,1,165
747,3,-424.6
1383,1,7
2312,1,2
5064,1,-8
2222,1,85
3402,3,-7
1636,1,126
1382,1,8
1413,1,2471
1435,3,34
78,1,1584.5
647,1,3
858,1,26
739,1,23
889,1,-44
4486,1,-1
3962,3,-16
