100048,PET-15X,"Llave ajustable (perico) 15' cromada, TRUPER",1.09,Pieza,504.31,375,418.1,323.28,461.21,Truper,27111707,7506240000000
100049,PET-15C,"Llave ajustable (perico) 15' profesional cromada, EXPERT",1.33,Pieza,711.21,525,590.52,452.59,642.24,Expert,27111707,7506240000000
100098,REP-CUT-5X,"Estuche con 10 cuchillas SK2 de 9 mm para cutter, EXPERT",0.035,Set,24.14,18,19.83,15.52,22.41,Expert,27111503,7506240000000
100099,REP-CUT-6X,"Estuche con 10 cuchillas SK2 de 18 mm para cutter, EXPERT",0.085,Set,42.24,32,36.21,27.59,39.66,Expert,27111503,7506240000000
100101,REP-CUT-650,"Estuche con 50 cuchillas SK4 de 18 mm para cutter, TRUPER",0.368,Set,116.38,85,94.83,73.28,103.45,Truper,27111503,7506240000000
100103,ST-724X,"Disco sierra 7-1/4' p/madera, 24 dientes centro 5/8', EXPERT",0.32,Pieza,292.24,215,240.52,185.34,266.38,Expert,23231200,7506240000000
100104,ST-740X,"Disco sierra 7-1/4' p/madera, 40 dientes centro 5/8', EXPERT",0.34,Pieza,357.76,265,297.41,228.45,323.28,Expert,23231200,7506240000000
100105,ST-1040EX,"Disco sierra 10' para madera, 40 dientes centro 1', EXPERT",0.72,Pieza,573.28,425,478.45,366.38,530.17,Expert,23231200,7506240000000
100106,ST-1060EX,"Disco sierra 10' para madera, 60 dientes centro 1', EXPERT",0.725,Pieza,676.72,500,560.34,431.03,616.38,Expert,23231200,7506240000000
100107,ST-1240EX,"Disco sierra 12' para madera, 40 dientes centro 1', EXPERT",1.16,Pieza,831.9,615,685.34,530.17,754.31,Expert,23231200,7506240000000
100108,ST-1260EX,"Disco sierra 12' para madera, 60 dientes centro 1', EXPERT",1.14,Pieza,978.45,725,814.66,625,892.24,Expert,23231200,7506240000000
100109,ST-10100AX,"Disco sierra 10' p/aluminio, 100 dientes centro 5/8', EXPERT",0.86,Pieza,1508.62,1100,1228.45,948.28,1357.76,Expert,23231200,7506240000000
100121,SPX-13C,"Serrucho de poda 13',hoja curva,7 DPP, mango madera, EXPERT",0.239,Pieza,257.76,189,211.21,162.93,231.9,Expert,27111500,7506240000000
100122,SPX-13R,"Serrucho de poda 13',hoja recta,7 DPP, mango madera, EXPERT",0.24,Pieza,249.14,185,206.03,159.48,228.45,Expert,27111500,7506240000000
100128,DILF-4120,"Disco lija 4-1/2' con respaldo de fibra, grano 120, TRUPER",0.016,Pieza,14.66,10,12.07,8.62,13.36,Truper,27112742,7506240000000
100130,REP-CUT-7X,"Estuche con 10 cuchillas SK2 de 25 mm para cutter, EXPERT",0.19,Set,107.76,79,88.79,68.1,97.41,Expert,27111503,7506240000000
100131,REP-CUT-650X,"Estuche con 50 cuchillas SK2 de 18 mm para cutter, EXPERT",0.365,Set,185.34,135,150.86,116.38,168.1,Expert,27111503,7506240000000
